Cod.registro;ID do cliente;Nome do cliente;Sexo;Estado civil;Renda mensal (R$);Tipo da transação;data
t001;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;19/11/2024
t002;2;Ana Costa;Feminino;Viúvo(a);4347,62;saque;17/11/2024
t003;3;Camila Souza;Feminino;Casado(a);3075,08;saque;08/09/2024
t004;4;Camila Costa;Feminino;Casado(a);4260,5;pix;13/09/2024
t005;5;Beatriz Pereira;Feminino;Casado(a);3787,57;saque;19/11/2024
t006;6;Fernanda Souza;Feminino;Solteiro(a);8483,37;pix;10/11/2024
t007;7;Paulo Araújo;Masculino;Casado(a);6946,26;saque;07/10/2024
t008;8;Fernanda Almeida;Feminino;Solteiro(a);9539,49;pix;29/08/2024
t009;9;João Pereira;Masculino;Casado(a);6632,51;pix;09/07/2024
t010;10;Carlos Souza;Masculino;Divorciado(a);6195,28;pix;28/12/2024
t011;11;Paulo Costa;Masculino;Divorciado(a);5495,68;saque;19/10/2024
t012;12;Carlos Costa;Masculino;Casado(a);5143,81;saque;15/09/2024
t013;13;Ricardo Costa;Masculino;Viúvo(a);7358,74;saque;11/09/2024
t014;14;Pedro Araújo;Masculino;Viúvo(a);8644,22;pix;16/09/2024
t015;15;Maria Silva;Feminino;Divorciado(a);5514,13;pix;05/09/2024
t016;16;Carlos Santos;Masculino;Casado(a);1324,58;pix;31/08/2024
t017;17;Camila Nascimento;Masculino;Divorciado(a);2664,98;pix;10/09/2024
t018;18;Beatriz Lima;Feminino;Casado(a);3189,75;saque;29/11/2024
t019;19;Ricardo Silva;Masculino;Viúvo(a);3421,08;saque;23/12/2024
t020;20;Ricardo Oliveira;Masculino;Casado(a);5586,92;saque;29/07/2024
t021;21;Maria Nascimento;Feminino;Divorciado(a);4777,23;saque;18/07/2024
t022;22;Beatriz Santos;Feminino;Viúvo(a);8920,4;saque;08/12/2024
t023;23;Camila Santos;Feminino;Divorciado(a);4135,44;pix;22/09/2024
t024;24;Beatriz Costa;Feminino;Divorciado(a);6425,75;pix;25/10/2024
t025;25;Camila Araújo;Feminino;Divorciado(a);1446,38;saque;20/11/2024
t026;26;Ana Pereira;Feminino;Solteiro(a);5898,85;saque;17/11/2024
t027;27;Ana Lima;Feminino;Casado(a);9045,74;saque;28/10/2024
t028;28;Carlos Araújo;Masculino;Divorciado(a);9133,82;saque;01/12/2024
t029;29;Ricardo Nascimento;Masculino;Viúvo(a);3249,69;pix;26/07/2024
t030;30;João Lima;Masculino;Solteiro(a);9251,39;saque;11/12/2024
t031;31;Fernanda Santos;Feminino;Solteiro(a);9062,56;pix;28/07/2024
t032;32;Ricardo Lima;Masculino;Solteiro(a);4124,23;pix;12/07/2024
t033;33;João Silva;Masculino;Divorciado(a);4977,08;pix;15/09/2024
t034;34;João Oliveira;Masculino;Solteiro(a);5256,48;pix;29/10/2024
t035;35;João Almeida;Masculino;Solteiro(a);8222,99;pix;06/07/2024
t036;36;Paulo Silva;Masculino;Casado(a);8762,13;saque;20/07/2024
t037;37;Paulo Nascimento;Masculino;Casado(a);1335,42;saque;27/10/2024
t038;38;Maria Almeida;Feminino;Casado(a);3826,69;pix;31/10/2024
t039;39;Fernanda Costa;Feminino;Divorciado(a);2204,7;pix;19/12/2024
t040;40;Beatriz Souza;Feminino;Viúvo(a);6904,35;pix;16/07/2024
t041;41;João Nascimento;Masculino;Viúvo(a);1235,29;saque;31/12/2024
t042;42;Paulo Almeida;Masculino;Solteiro(a);5970,13;pix;21/08/2024
t043;43;Maria Lima;Feminino;Casado(a);3563,85;pix;07/07/2024
t044;44;Pedro Costa;Masculino;Casado(a);4806,37;pix;15/11/2024
t045;45;João Araújo;Masculino;Solteiro(a);2403,54;pix;02/11/2024
t046;46;João Costa;Masculino;Viúvo(a);2885,35;saque;22/12/2024
